parent_task_id	parent_task_type	child_task_id	child_task_type	dependency_role	root_kind	family	tau	fit_size	prior
review__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	root_review	post__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	gausmix	0.95	1000	rhs
post__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	root_postprocess	mp__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge__al	model_path	requires_model_path_done	static_shrink	gausmix	0.95	1000	ridge
post__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	root_postprocess	mp__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge__exal	model_path	requires_model_path_done	static_shrink	gausmix	0.95	1000	ridge
review__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	root_review	post__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	gausmix	0.95	1000	ridge
post__root__static_shrink__laplace__tau_0p05__tt_100__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p05__tt_100__rhs__al	model_path	requires_model_path_done	static_shrink	laplace	0.05	100	rhs
post__root__static_shrink__laplace__tau_0p05__tt_100__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p05__tt_100__rhs__exal	model_path	requires_model_path_done	static_shrink	laplace	0.05	100	rhs
review__root__static_shrink__laplace__tau_0p05__tt_100__rhs	root_review	post__root__static_shrink__laplace__tau_0p05__tt_100__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.05	100	rhs
post__root__static_shrink__laplace__tau_0p05__tt_100__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p05__tt_100__ridge__al	model_path	requires_model_path_done	static_shrink	laplace	0.05	100	ridge
post__root__static_shrink__laplace__tau_0p05__tt_100__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p05__tt_100__ridge__exal	model_path	requires_model_path_done	static_shrink	laplace	0.05	100	ridge
review__root__static_shrink__laplace__tau_0p05__tt_100__ridge	root_review	post__root__static_shrink__laplace__tau_0p05__tt_100__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.05	100	ridge
post__root__static_shrink__laplace__tau_0p05__tt_1000__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p05__tt_1000__rhs__al	model_path	requires_model_path_done	static_shrink	laplace	0.05	1000	rhs
post__root__static_shrink__laplace__tau_0p05__tt_1000__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p05__tt_1000__rhs__exal	model_path	requires_model_path_done	static_shrink	laplace	0.05	1000	rhs
review__root__static_shrink__laplace__tau_0p05__tt_1000__rhs	root_review	post__root__static_shrink__laplace__tau_0p05__tt_1000__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.05	1000	rhs
post__root__static_shrink__laplace__tau_0p05__tt_1000__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p05__tt_1000__ridge__al	model_path	requires_model_path_done	static_shrink	laplace	0.05	1000	ridge
post__root__static_shrink__laplace__tau_0p05__tt_1000__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p05__tt_1000__ridge__exal	model_path	requires_model_path_done	static_shrink	laplace	0.05	1000	ridge
review__root__static_shrink__laplace__tau_0p05__tt_1000__ridge	root_review	post__root__static_shrink__laplace__tau_0p05__tt_1000__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.05	1000	ridge
post__root__static_shrink__laplace__tau_0p25__tt_100__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p25__tt_100__rhs__al	model_path	requires_model_path_done	static_shrink	laplace	0.25	100	rhs
post__root__static_shrink__laplace__tau_0p25__tt_100__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p25__tt_100__rhs__exal	model_path	requires_model_path_done	static_shrink	laplace	0.25	100	rhs
review__root__static_shrink__laplace__tau_0p25__tt_100__rhs	root_review	post__root__static_shrink__laplace__tau_0p25__tt_100__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.25	100	rhs
post__root__static_shrink__laplace__tau_0p25__tt_100__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p25__tt_100__ridge__al	model_path	requires_model_path_done	static_shrink	laplace	0.25	100	ridge
post__root__static_shrink__laplace__tau_0p25__tt_100__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p25__tt_100__ridge__exal	model_path	requires_model_path_done	static_shrink	laplace	0.25	100	ridge
review__root__static_shrink__laplace__tau_0p25__tt_100__ridge	root_review	post__root__static_shrink__laplace__tau_0p25__tt_100__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.25	100	ridge
post__root__static_shrink__laplace__tau_0p25__tt_1000__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p25__tt_1000__rhs__al	model_path	requires_model_path_done	static_shrink	laplace	0.25	1000	rhs
post__root__static_shrink__laplace__tau_0p25__tt_1000__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p25__tt_1000__rhs__exal	model_path	requires_model_path_done	static_shrink	laplace	0.25	1000	rhs
review__root__static_shrink__laplace__tau_0p25__tt_1000__rhs	root_review	post__root__static_shrink__laplace__tau_0p25__tt_1000__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.25	1000	rhs
post__root__static_shrink__laplace__tau_0p25__tt_1000__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p25__tt_1000__ridge__al	model_path	requires_model_path_done	static_shrink	laplace	0.25	1000	ridge
post__root__static_shrink__laplace__tau_0p25__tt_1000__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p25__tt_1000__ridge__exal	model_path	requires_model_path_done	static_shrink	laplace	0.25	1000	ridge
review__root__static_shrink__laplace__tau_0p25__tt_1000__ridge	root_review	post__root__static_shrink__laplace__tau_0p25__tt_1000__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.25	1000	ridge
post__root__static_shrink__laplace__tau_0p95__tt_100__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p95__tt_100__rhs__al	model_path	requires_model_path_done	static_shrink	laplace	0.95	100	rhs
post__root__static_shrink__laplace__tau_0p95__tt_100__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p95__tt_100__rhs__exal	model_path	requires_model_path_done	static_shrink	laplace	0.95	100	rhs
review__root__static_shrink__laplace__tau_0p95__tt_100__rhs	root_review	post__root__static_shrink__laplace__tau_0p95__tt_100__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.95	100	rhs
post__root__static_shrink__laplace__tau_0p95__tt_100__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p95__tt_100__ridge__al	model_path	requires_model_path_done	static_shrink	laplace	0.95	100	ridge
post__root__static_shrink__laplace__tau_0p95__tt_100__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p95__tt_100__ridge__exal	model_path	requires_model_path_done	static_shrink	laplace	0.95	100	ridge
review__root__static_shrink__laplace__tau_0p95__tt_100__ridge	root_review	post__root__static_shrink__laplace__tau_0p95__tt_100__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.95	100	ridge
post__root__static_shrink__laplace__tau_0p95__tt_1000__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p95__tt_1000__rhs__al	model_path	requires_model_path_done	static_shrink	laplace	0.95	1000	rhs
post__root__static_shrink__laplace__tau_0p95__tt_1000__rhs	root_postprocess	mp__root__static_shrink__laplace__tau_0p95__tt_1000__rhs__exal	model_path	requires_model_path_done	static_shrink	laplace	0.95	1000	rhs
review__root__static_shrink__laplace__tau_0p95__tt_1000__rhs	root_review	post__root__static_shrink__laplace__tau_0p95__tt_1000__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.95	1000	rhs
post__root__static_shrink__laplace__tau_0p95__tt_1000__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p95__tt_1000__ridge__al	model_path	requires_model_path_done	static_shrink	laplace	0.95	1000	ridge
post__root__static_shrink__laplace__tau_0p95__tt_1000__ridge	root_postprocess	mp__root__static_shrink__laplace__tau_0p95__tt_1000__ridge__exal	model_path	requires_model_path_done	static_shrink	laplace	0.95	1000	ridge
review__root__static_shrink__laplace__tau_0p95__tt_1000__ridge	root_review	post__root__static_shrink__laplace__tau_0p95__tt_1000__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	laplace	0.95	1000	ridge
post__root__static_shrink__normal__tau_0p05__tt_100__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p05__tt_100__rhs__al	model_path	requires_model_path_done	static_shrink	normal	0.05	100	rhs
post__root__static_shrink__normal__tau_0p05__tt_100__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p05__tt_100__rhs__exal	model_path	requires_model_path_done	static_shrink	normal	0.05	100	rhs
review__root__static_shrink__normal__tau_0p05__tt_100__rhs	root_review	post__root__static_shrink__normal__tau_0p05__tt_100__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.05	100	rhs
post__root__static_shrink__normal__tau_0p05__tt_100__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p05__tt_100__ridge__al	model_path	requires_model_path_done	static_shrink	normal	0.05	100	ridge
post__root__static_shrink__normal__tau_0p05__tt_100__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p05__tt_100__ridge__exal	model_path	requires_model_path_done	static_shrink	normal	0.05	100	ridge
review__root__static_shrink__normal__tau_0p05__tt_100__ridge	root_review	post__root__static_shrink__normal__tau_0p05__tt_100__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.05	100	ridge
post__root__static_shrink__normal__tau_0p05__tt_1000__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p05__tt_1000__rhs__al	model_path	requires_model_path_done	static_shrink	normal	0.05	1000	rhs
post__root__static_shrink__normal__tau_0p05__tt_1000__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p05__tt_1000__rhs__exal	model_path	requires_model_path_done	static_shrink	normal	0.05	1000	rhs
review__root__static_shrink__normal__tau_0p05__tt_1000__rhs	root_review	post__root__static_shrink__normal__tau_0p05__tt_1000__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.05	1000	rhs
post__root__static_shrink__normal__tau_0p05__tt_1000__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p05__tt_1000__ridge__al	model_path	requires_model_path_done	static_shrink	normal	0.05	1000	ridge
post__root__static_shrink__normal__tau_0p05__tt_1000__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p05__tt_1000__ridge__exal	model_path	requires_model_path_done	static_shrink	normal	0.05	1000	ridge
review__root__static_shrink__normal__tau_0p05__tt_1000__ridge	root_review	post__root__static_shrink__normal__tau_0p05__tt_1000__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.05	1000	ridge
post__root__static_shrink__normal__tau_0p25__tt_100__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p25__tt_100__rhs__al	model_path	requires_model_path_done	static_shrink	normal	0.25	100	rhs
post__root__static_shrink__normal__tau_0p25__tt_100__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p25__tt_100__rhs__exal	model_path	requires_model_path_done	static_shrink	normal	0.25	100	rhs
review__root__static_shrink__normal__tau_0p25__tt_100__rhs	root_review	post__root__static_shrink__normal__tau_0p25__tt_100__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.25	100	rhs
post__root__static_shrink__normal__tau_0p25__tt_100__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p25__tt_100__ridge__al	model_path	requires_model_path_done	static_shrink	normal	0.25	100	ridge
post__root__static_shrink__normal__tau_0p25__tt_100__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p25__tt_100__ridge__exal	model_path	requires_model_path_done	static_shrink	normal	0.25	100	ridge
review__root__static_shrink__normal__tau_0p25__tt_100__ridge	root_review	post__root__static_shrink__normal__tau_0p25__tt_100__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.25	100	ridge
post__root__static_shrink__normal__tau_0p25__tt_1000__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p25__tt_1000__rhs__al	model_path	requires_model_path_done	static_shrink	normal	0.25	1000	rhs
post__root__static_shrink__normal__tau_0p25__tt_1000__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p25__tt_1000__rhs__exal	model_path	requires_model_path_done	static_shrink	normal	0.25	1000	rhs
review__root__static_shrink__normal__tau_0p25__tt_1000__rhs	root_review	post__root__static_shrink__normal__tau_0p25__tt_1000__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.25	1000	rhs
post__root__static_shrink__normal__tau_0p25__tt_1000__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p25__tt_1000__ridge__al	model_path	requires_model_path_done	static_shrink	normal	0.25	1000	ridge
post__root__static_shrink__normal__tau_0p25__tt_1000__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p25__tt_1000__ridge__exal	model_path	requires_model_path_done	static_shrink	normal	0.25	1000	ridge
review__root__static_shrink__normal__tau_0p25__tt_1000__ridge	root_review	post__root__static_shrink__normal__tau_0p25__tt_1000__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.25	1000	ridge
post__root__static_shrink__normal__tau_0p95__tt_100__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p95__tt_100__rhs__al	model_path	requires_model_path_done	static_shrink	normal	0.95	100	rhs
post__root__static_shrink__normal__tau_0p95__tt_100__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p95__tt_100__rhs__exal	model_path	requires_model_path_done	static_shrink	normal	0.95	100	rhs
review__root__static_shrink__normal__tau_0p95__tt_100__rhs	root_review	post__root__static_shrink__normal__tau_0p95__tt_100__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.95	100	rhs
post__root__static_shrink__normal__tau_0p95__tt_100__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p95__tt_100__ridge__al	model_path	requires_model_path_done	static_shrink	normal	0.95	100	ridge
post__root__static_shrink__normal__tau_0p95__tt_100__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p95__tt_100__ridge__exal	model_path	requires_model_path_done	static_shrink	normal	0.95	100	ridge
review__root__static_shrink__normal__tau_0p95__tt_100__ridge	root_review	post__root__static_shrink__normal__tau_0p95__tt_100__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.95	100	ridge
post__root__static_shrink__normal__tau_0p95__tt_1000__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p95__tt_1000__rhs__al	model_path	requires_model_path_done	static_shrink	normal	0.95	1000	rhs
post__root__static_shrink__normal__tau_0p95__tt_1000__rhs	root_postprocess	mp__root__static_shrink__normal__tau_0p95__tt_1000__rhs__exal	model_path	requires_model_path_done	static_shrink	normal	0.95	1000	rhs
review__root__static_shrink__normal__tau_0p95__tt_1000__rhs	root_review	post__root__static_shrink__normal__tau_0p95__tt_1000__rhs	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.95	1000	rhs
post__root__static_shrink__normal__tau_0p95__tt_1000__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p95__tt_1000__ridge__al	model_path	requires_model_path_done	static_shrink	normal	0.95	1000	ridge
post__root__static_shrink__normal__tau_0p95__tt_1000__ridge	root_postprocess	mp__root__static_shrink__normal__tau_0p95__tt_1000__ridge__exal	model_path	requires_model_path_done	static_shrink	normal	0.95	1000	ridge
review__root__static_shrink__normal__tau_0p95__tt_1000__ridge	root_review	post__root__static_shrink__normal__tau_0p95__tt_1000__ridge	root_postprocess	requires_postprocess_and_report_done	static_shrink	normal	0.95	1000	ridge
compare__static_shrink__normal__tau_0p05__tt_100	prior_compare	review__root__static_shrink__normal__tau_0p05__tt_100__ridge	root_review	requires_ridge_root_review_done	static_shrink	normal	0.05	100	ridge
compare__static_shrink__normal__tau_0p05__tt_100	prior_compare	review__root__static_shrink__normal__tau_0p05__tt_100__rhs	root_review	requires_rhs_root_review_done	static_shrink	normal	0.05	100	rhs
compare__static_shrink__normal__tau_0p05__tt_1000	prior_compare	review__root__static_shrink__normal__tau_0p05__tt_1000__ridge	root_review	requires_ridge_root_review_done	static_shrink	normal	0.05	1000	ridge
compare__static_shrink__normal__tau_0p05__tt_1000	prior_compare	review__root__static_shrink__normal__tau_0p05__tt_1000__rhs	root_review	requires_rhs_root_review_done	static_shrink	normal	0.05	1000	rhs
compare__static_shrink__normal__tau_0p25__tt_100	prior_compare	review__root__static_shrink__normal__tau_0p25__tt_100__ridge	root_review	requires_ridge_root_review_done	static_shrink	normal	0.25	100	ridge
compare__static_shrink__normal__tau_0p25__tt_100	prior_compare	review__root__static_shrink__normal__tau_0p25__tt_100__rhs	root_review	requires_rhs_root_review_done	static_shrink	normal	0.25	100	rhs
compare__static_shrink__normal__tau_0p25__tt_1000	prior_compare	review__root__static_shrink__normal__tau_0p25__tt_1000__ridge	root_review	requires_ridge_root_review_done	static_shrink	normal	0.25	1000	ridge
compare__static_shrink__normal__tau_0p25__tt_1000	prior_compare	review__root__static_shrink__normal__tau_0p25__tt_1000__rhs	root_review	requires_rhs_root_review_done	static_shrink	normal	0.25	1000	rhs
compare__static_shrink__normal__tau_0p95__tt_100	prior_compare	review__root__static_shrink__normal__tau_0p95__tt_100__ridge	root_review	requires_ridge_root_review_done	static_shrink	normal	0.95	100	ridge
compare__static_shrink__normal__tau_0p95__tt_100	prior_compare	review__root__static_shrink__normal__tau_0p95__tt_100__rhs	root_review	requires_rhs_root_review_done	static_shrink	normal	0.95	100	rhs
compare__static_shrink__normal__tau_0p95__tt_1000	prior_compare	review__root__static_shrink__normal__tau_0p95__tt_1000__ridge	root_review	requires_ridge_root_review_done	static_shrink	normal	0.95	1000	ridge
compare__static_shrink__normal__tau_0p95__tt_1000	prior_compare	review__root__static_shrink__normal__tau_0p95__tt_1000__rhs	root_review	requires_rhs_root_review_done	static_shrink	normal	0.95	1000	rhs
compare__static_shrink__laplace__tau_0p05__tt_100	prior_compare	review__root__static_shrink__laplace__tau_0p05__tt_100__ridge	root_review	requires_ridge_root_review_done	static_shrink	laplace	0.05	100	ridge
compare__static_shrink__laplace__tau_0p05__tt_100	prior_compare	review__root__static_shrink__laplace__tau_0p05__tt_100__rhs	root_review	requires_rhs_root_review_done	static_shrink	laplace	0.05	100	rhs
compare__static_shrink__laplace__tau_0p05__tt_1000	prior_compare	review__root__static_shrink__laplace__tau_0p05__tt_1000__ridge	root_review	requires_ridge_root_review_done	static_shrink	laplace	0.05	1000	ridge
compare__static_shrink__laplace__tau_0p05__tt_1000	prior_compare	review__root__static_shrink__laplace__tau_0p05__tt_1000__rhs	root_review	requires_rhs_root_review_done	static_shrink	laplace	0.05	1000	rhs
compare__static_shrink__laplace__tau_0p25__tt_100	prior_compare	review__root__static_shrink__laplace__tau_0p25__tt_100__ridge	root_review	requires_ridge_root_review_done	static_shrink	laplace	0.25	100	ridge
compare__static_shrink__laplace__tau_0p25__tt_100	prior_compare	review__root__static_shrink__laplace__tau_0p25__tt_100__rhs	root_review	requires_rhs_root_review_done	static_shrink	laplace	0.25	100	rhs
compare__static_shrink__laplace__tau_0p25__tt_1000	prior_compare	review__root__static_shrink__laplace__tau_0p25__tt_1000__ridge	root_review	requires_ridge_root_review_done	static_shrink	laplace	0.25	1000	ridge
compare__static_shrink__laplace__tau_0p25__tt_1000	prior_compare	review__root__static_shrink__laplace__tau_0p25__tt_1000__rhs	root_review	requires_rhs_root_review_done	static_shrink	laplace	0.25	1000	rhs
compare__static_shrink__laplace__tau_0p95__tt_100	prior_compare	review__root__static_shrink__laplace__tau_0p95__tt_100__ridge	root_review	requires_ridge_root_review_done	static_shrink	laplace	0.95	100	ridge
compare__static_shrink__laplace__tau_0p95__tt_100	prior_compare	review__root__static_shrink__laplace__tau_0p95__tt_100__rhs	root_review	requires_rhs_root_review_done	static_shrink	laplace	0.95	100	rhs
compare__static_shrink__laplace__tau_0p95__tt_1000	prior_compare	review__root__static_shrink__laplace__tau_0p95__tt_1000__ridge	root_review	requires_ridge_root_review_done	static_shrink	laplace	0.95	1000	ridge
compare__static_shrink__laplace__tau_0p95__tt_1000	prior_compare	review__root__static_shrink__laplace__tau_0p95__tt_1000__rhs	root_review	requires_rhs_root_review_done	static_shrink	laplace	0.95	1000	rhs
compare__static_shrink__gausmix__tau_0p05__tt_100	prior_compare	review__root__static_shrink__gausmix__tau_0p05__tt_100__ridge	root_review	requires_ridge_root_review_done	static_shrink	gausmix	0.05	100	ridge
compare__static_shrink__gausmix__tau_0p05__tt_100	prior_compare	review__root__static_shrink__gausmix__tau_0p05__tt_100__rhs	root_review	requires_rhs_root_review_done	static_shrink	gausmix	0.05	100	rhs
compare__static_shrink__gausmix__tau_0p05__tt_1000	prior_compare	review__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	root_review	requires_ridge_root_review_done	static_shrink	gausmix	0.05	1000	ridge
compare__static_shrink__gausmix__tau_0p05__tt_1000	prior_compare	review__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	root_review	requires_rhs_root_review_done	static_shrink	gausmix	0.05	1000	rhs
compare__static_shrink__gausmix__tau_0p25__tt_100	prior_compare	review__root__static_shrink__gausmix__tau_0p25__tt_100__ridge	root_review	requires_ridge_root_review_done	static_shrink	gausmix	0.25	100	ridge
compare__static_shrink__gausmix__tau_0p25__tt_100	prior_compare	review__root__static_shrink__gausmix__tau_0p25__tt_100__rhs	root_review	requires_rhs_root_review_done	static_shrink	gausmix	0.25	100	rhs
compare__static_shrink__gausmix__tau_0p25__tt_1000	prior_compare	review__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	root_review	requires_ridge_root_review_done	static_shrink	gausmix	0.25	1000	ridge
compare__static_shrink__gausmix__tau_0p25__tt_1000	prior_compare	review__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	root_review	requires_rhs_root_review_done	static_shrink	gausmix	0.25	1000	rhs
compare__static_shrink__gausmix__tau_0p95__tt_100	prior_compare	review__root__static_shrink__gausmix__tau_0p95__tt_100__ridge	root_review	requires_ridge_root_review_done	static_shrink	gausmix	0.95	100	ridge
compare__static_shrink__gausmix__tau_0p95__tt_100	prior_compare	review__root__static_shrink__gausmix__tau_0p95__tt_100__rhs	root_review	requires_rhs_root_review_done	static_shrink	gausmix	0.95	100	rhs
compare__static_shrink__gausmix__tau_0p95__tt_1000	prior_compare	review__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	root_review	requires_ridge_root_review_done	static_shrink	gausmix	0.95	1000	ridge
compare__static_shrink__gausmix__tau_0p95__tt_1000	prior_compare	review__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	root_review	requires_rhs_root_review_done	static_shrink	gausmix	0.95	1000	rhs
campaign__static_paper	campaign_review	review__root__static_paper__gausmix__tau_0p05__tt_100	root_review	requires_static_paper_root_review_done	static_paper	gausmix	0.05	100	paper
campaign__static_paper	campaign_review	review__root__static_paper__gausmix__tau_0p05__tt_1000	root_review	requires_static_paper_root_review_done	static_paper	gausmix	0.05	1000	paper
campaign__static_paper	campaign_review	review__root__static_paper__gausmix__tau_0p25__tt_100	root_review	requires_static_paper_root_review_done	static_paper	gausmix	0.25	100	paper
campaign__static_paper	campaign_review	review__root__static_paper__gausmix__tau_0p25__tt_1000	root_review	requires_static_paper_root_review_done	static_paper	gausmix	0.25	1000	paper
campaign__static_paper	campaign_review	review__root__static_paper__gausmix__tau_0p95__tt_100	root_review	requires_static_paper_root_review_done	static_paper	gausmix	0.95	100	paper
campaign__static_paper	campaign_review	review__root__static_paper__gausmix__tau_0p95__tt_1000	root_review	requires_static_paper_root_review_done	static_paper	gausmix	0.95	1000	paper
campaign__static_paper	campaign_review	review__root__static_paper__laplace__tau_0p05__tt_100	root_review	requires_static_paper_root_review_done	static_paper	laplace	0.05	100	paper
campaign__static_paper	campaign_review	review__root__static_paper__laplace__tau_0p05__tt_1000	root_review	requires_static_paper_root_review_done	static_paper	laplace	0.05	1000	paper
campaign__static_paper	campaign_review	review__root__static_paper__laplace__tau_0p25__tt_100	root_review	requires_static_paper_root_review_done	static_paper	laplace	0.25	100	paper
campaign__static_paper	campaign_review	review__root__static_paper__laplace__tau_0p25__tt_1000	root_review	requires_static_paper_root_review_done	static_paper	laplace	0.25	1000	paper
campaign__static_paper	campaign_review	review__root__static_paper__laplace__tau_0p95__tt_100	root_review	requires_static_paper_root_review_done	static_paper	laplace	0.95	100	paper
campaign__static_paper	campaign_review	review__root__static_paper__laplace__tau_0p95__tt_1000	root_review	requires_static_paper_root_review_done	static_paper	laplace	0.95	1000	paper
campaign__static_paper	campaign_review	review__root__static_paper__normal__tau_0p05__tt_100	root_review	requires_static_paper_root_review_done	static_paper	normal	0.05	100	paper
campaign__static_paper	campaign_review	review__root__static_paper__normal__tau_0p05__tt_1000	root_review	requires_static_paper_root_review_done	static_paper	normal	0.05	1000	paper
campaign__static_paper	campaign_review	review__root__static_paper__normal__tau_0p25__tt_100	root_review	requires_static_paper_root_review_done	static_paper	normal	0.25	100	paper
campaign__static_paper	campaign_review	review__root__static_paper__normal__tau_0p25__tt_1000	root_review	requires_static_paper_root_review_done	static_paper	normal	0.25	1000	paper
campaign__static_paper	campaign_review	review__root__static_paper__normal__tau_0p95__tt_100	root_review	requires_static_paper_root_review_done	static_paper	normal	0.95	100	paper
campaign__static_paper	campaign_review	review__root__static_paper__normal__tau_0p95__tt_1000	root_review	requires_static_paper_root_review_done	static_paper	normal	0.95	1000	paper
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p05__tt_100__rhs	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.05	100	rhs
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p05__tt_100__ridge	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.05	100	ridge
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.05	1000	rhs
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.05	1000	ridge
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p25__tt_100__rhs	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.25	100	rhs
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p25__tt_100__ridge	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.25	100	ridge
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.25	1000	rhs
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.25	1000	ridge
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p95__tt_100__rhs	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.95	100	rhs
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p95__tt_100__ridge	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.95	100	ridge
campaign__static_shrink	campaign_review	review__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	root_review	requires_static_shrink_root_review_done	static_shrink	gausmix	0.95	1000	rhs
